model,round,round_label,metric,point,ci_lo,ci_hi,n
Qwen-2.5-1.5B,0,Baseline,accuracy,0.41,0.31,0.51,100
Qwen-2.5-1.5B,1,Round 1,accuracy,0.48,0.38,0.58,100
Qwen-2.5-1.5B,2,Round 2,accuracy,0.49,0.39,0.59,100
Qwen-2.5-1.5B,3,Round 3,accuracy,0.46,0.36,0.56,100
Qwen-2.5-1.5B,4,Round 4,accuracy,0.46,0.36,0.56,100
Qwen-2.5-1.5B,5,Round 5,accuracy,0.44,0.34,0.54,100
Qwen-2.5-1.5B,0,Baseline,hallucination_rate,0.51,0.41,0.61,100
Qwen-2.5-1.5B,1,Round 1,hallucination_rate,0.44,0.34,0.54,100
Qwen-2.5-1.5B,2,Round 2,hallucination_rate,0.46,0.36,0.56,100
Qwen-2.5-1.5B,3,Round 3,hallucination_rate,0.47,0.37,0.57,100
Qwen-2.5-1.5B,4,Round 4,hallucination_rate,0.44,0.34,0.54,100
Qwen-2.5-1.5B,5,Round 5,hallucination_rate,0.43,0.33,0.53,100
