model,round,round_label,metric,point,ci_lo,ci_hi,n
gpt-3.5-turbo,0,Baseline,accuracy,0.55,0.45,0.65,100
gpt-3.5-turbo,1,Round 1,accuracy,0.54,0.44,0.64,100
gpt-3.5-turbo,2,Round 2,accuracy,0.49,0.39,0.59,100
gpt-3.5-turbo,3,Round 3,accuracy,0.56,0.46,0.66,100
gpt-3.5-turbo,4,Round 4,accuracy,0.49,0.39,0.59,100
gpt-3.5-turbo,5,Round 5,accuracy,0.56,0.46,0.66,100
gpt-3.5-turbo,0,Baseline,hallucination_rate,0.34,0.24,0.44,100
gpt-3.5-turbo,1,Round 1,hallucination_rate,0.42,0.33,0.52,100
gpt-3.5-turbo,2,Round 2,hallucination_rate,0.43,0.33,0.53,100
gpt-3.5-turbo,3,Round 3,hallucination_rate,0.39,0.29,0.49,100
gpt-3.5-turbo,4,Round 4,hallucination_rate,0.38,0.28,0.48,100
gpt-3.5-turbo,5,Round 5,hallucination_rate,0.36,0.27,0.46,100
