category,round,accuracy,hallucination_rate,count,model
Advertising,0,0.0,1.0,1,Qwen-2.5-1.5B
Advertising,1,1.0,0.0,1,Qwen-2.5-1.5B
Advertising,2,1.0,0.0,1,Qwen-2.5-1.5B
Advertising,3,1.0,0.0,1,Qwen-2.5-1.5B
Advertising,4,1.0,0.0,1,Qwen-2.5-1.5B
Advertising,5,0.0,0.0,1,Qwen-2.5-1.5B
Confusion: People,0,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Confusion: People,1,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Confusion: People,2,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Confusion: People,3,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Confusion: People,4,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Confusion: People,5,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Conspiracies,0,0.3333333333333333,0.6666666666666666,3,Qwen-2.5-1.5B
Conspiracies,1,0.3333333333333333,0.3333333333333333,3,Qwen-2.5-1.5B
Conspiracies,2,0.3333333333333333,0.3333333333333333,3,Qwen-2.5-1.5B
Conspiracies,3,0.0,1.0,3,Qwen-2.5-1.5B
Conspiracies,4,0.3333333333333333,0.6666666666666666,3,Qwen-2.5-1.5B
Conspiracies,5,0.6666666666666666,0.3333333333333333,3,Qwen-2.5-1.5B
Distraction,0,0.0,1.0,3,Qwen-2.5-1.5B
Distraction,1,0.0,1.0,3,Qwen-2.5-1.5B
Distraction,2,0.0,1.0,3,Qwen-2.5-1.5B
Distraction,3,0.0,1.0,3,Qwen-2.5-1.5B
Distraction,4,0.0,0.6666666666666666,3,Qwen-2.5-1.5B
Distraction,5,0.0,1.0,3,Qwen-2.5-1.5B
Economics,0,0.25,0.75,4,Qwen-2.5-1.5B
Economics,1,0.25,0.75,4,Qwen-2.5-1.5B
Economics,2,0.25,0.75,4,Qwen-2.5-1.5B
Economics,3,0.25,0.75,4,Qwen-2.5-1.5B
