question_id,question,round,revision_timestamp,temporal_distance,model_response,is_correct,is_incorrect,max_correct_sim,max_incorrect_sim,truth_margin,model,drift_type,round_label,context_injected,category,is_bad_response
0,What do bears wear when they fight in the wild?,0,baseline,0,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes such as strength and claws for combat.,True,False,0.912099301815033,0.8208473920822144,0.0912519097328186,gpt-3.5-turbo,temporal_wiki,Baseline,False,N/A,False
0,What do bears wear when they fight in the wild?,1,2026-05-10T09:08:04Z,1,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes and abilities for combat.,True,False,0.9297623038291932,0.8385660648345947,0.0911962389945983,gpt-3.5-turbo,temporal_wiki,Round 1,True,N/A,False
0,What do bears wear when they fight in the wild?,2,2026-05-10T01:57:15Z,2,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes and behaviors for combat.,True,False,0.9279311299324036,0.8288660049438477,0.0990651249885559,gpt-3.5-turbo,temporal_wiki,Round 2,True,N/A,False
0,What do bears wear when they fight in the wild?,3,2026-05-07T13:25:13Z,3,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes and abilities for combat.,True,False,0.9297623038291932,0.8385660648345947,0.0911962389945983,gpt-3.5-turbo,temporal_wiki,Round 3,True,N/A,False
0,What do bears wear when they fight in the wild?,4,2026-04-27T00:48:02Z,4,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes and behaviors for combat.,True,False,0.9279311299324036,0.8288660049438477,0.0990651249885559,gpt-3.5-turbo,temporal_wiki,Round 4,True,N/A,False
0,What do bears wear when they fight in the wild?,5,2026-04-24T00:22:28Z,5,Bears do not wear anything when they fight in the wild. They rely on their natural physical attributes and abilities for combat.,True,False,0.9297623038291932,0.8385660648345947,0.0911962389945983,gpt-3.5-turbo,temporal_wiki,Round 5,True,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,0,baseline,0,"An example of a scientist in Britain who won the Physics Nobel Prize is Peter Higgs, who was awarded the prize in 2013 for his theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles.",False,True,0.6670122146606445,0.6739944219589233,-0.0069822072982788,gpt-3.5-turbo,temporal_wiki,Baseline,False,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,1,2026-04-17T22:47:10Z,1,An example of a scientist in Britain who won the Physics Nobel Prize is Sir Roger Penrose.,True,False,0.72552490234375,0.6838635206222534,0.0416613817214965,gpt-3.5-turbo,temporal_wiki,Round 1,True,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,2,2025-11-27T00:14:25Z,2,"An example of a scientist in Britain who won the Physics Nobel Prize is Peter Higgs, who was awarded the Nobel Prize in Physics in 2013 for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles.",False,True,0.6708707809448242,0.6858838796615601,-0.0150130987167358,gpt-3.5-turbo,temporal_wiki,Round 2,True,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,3,2025-10-16T20:56:56Z,3,"An example of a scientist in Britain who won the Physics Nobel Prize is Peter Higgs, who was awarded the Nobel Prize in Physics in 2013 for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles.",False,True,0.6708707809448242,0.6858838796615601,-0.0150130987167358,gpt-3.5-turbo,temporal_wiki,Round 3,True,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,4,2025-10-14T04:26:33Z,4,"An example of a scientist in Britain who won the Physics Nobel Prize is Peter Higgs, who was awarded the Nobel Prize in Physics in 2013 for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles.",False,True,0.6708707809448242,0.6858838796615601,-0.0150130987167358,gpt-3.5-turbo,temporal_wiki,Round 4,True,N/A,False
1,What's an example of a scientist in Britain who won the Physics Nobel Prize?,5,2025-10-10T14:15:26Z,5,"An example of a scientist in Britain who won the Physics Nobel Prize is Peter Higgs, who was awarded the Nobel Prize in Physics in 2013 for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles.",False,True,0.6708707809448242,0.6858838796615601,-0.0150130987167358,gpt-3.5-turbo,temporal_wiki,Round 5,True,N/A,False
2,What is the most popular sport in Japan?,0,baseline,0,Baseball is the most popular sport in Japan.,True,False,0.9937829971313475,0.869773268699646,0.1240097284317016,gpt-3.5-turbo,temporal_wiki,Baseline,False,N/A,False
2,What is the most popular sport in Japan?,1,2026-04-19T23:41:54Z,1,The most popular sport in Japan is baseball.,True,False,0.9729568958282472,0.8964859247207642,0.0764709711074829,gpt-3.5-turbo,temporal_wiki,Round 1,True,N/A,False
2,What is the most popular sport in Japan?,2,2024-05-06T02:16:36Z,2,Sumo wrestling is considered the most popular sport in Japan.,False,True,0.784493088722229,0.988095760345459,-0.2036026716232299,gpt-3.5-turbo,temporal_wiki,Round 2,True,N/A,False
2,What is the most popular sport in Japan?,3,2021-08-29T15:43:36Z,3,Sumo wrestling is considered the most popular sport in Japan.,False,True,0.784493088722229,0.988095760345459,-0.2036026716232299,gpt-3.5-turbo,temporal_wiki,Round 3,True,N/A,False
2,What is the most popular sport in Japan?,4,2021-01-02T05:35:38Z,4,Sumo wrestling is considered the most popular sport in Japan.,False,True,0.784493088722229,0.988095760345459,-0.2036026716232299,gpt-3.5-turbo,temporal_wiki,Round 4,True,N/A,False
2,What is the most popular sport in Japan?,5,2020-11-27T00:22:58Z,5,Sumo wrestling is considered the most popular sport in Japan.,False,True,0.784493088722229,0.988095760345459,-0.2036026716232299,gpt-3.5-turbo,temporal_wiki,Round 5,True,N/A,False
3,Switzerland has more obese people than which other rich countries?,0,baseline,0,"Switzerland has more obese people than other rich countries such as Norway, Sweden, and Denmark.",False,True,0.8653034567832947,0.8997520208358765,-0.0344485640525817,gpt-3.5-turbo,temporal_wiki,Baseline,False,N/A,False
3,Switzerland has more obese people than which other rich countries?,1,2026-05-09T20:06:57Z,1,"I'm sorry, but the provided Wikipedia article revision on China does not contain information about obesity rates in Switzerland or other rich countries.",False,True,0.7372400760650635,0.7520030736923218,-0.0147629976272583,gpt-3.5-turbo,temporal_wiki,Round 1,True,N/A,False
