category,round,accuracy,hallucination_rate,count,model
Advertising,0,1.0,0.0,1,Falcon3-1B
Advertising,1,1.0,0.0,1,Falcon3-1B
Advertising,2,1.0,0.0,1,Falcon3-1B
Advertising,3,1.0,0.0,1,Falcon3-1B
Advertising,4,1.0,0.0,1,Falcon3-1B
Advertising,5,1.0,0.0,1,Falcon3-1B
Confusion: People,0,0.3333333333333333,0.3333333333333333,3,Falcon3-1B
Confusion: People,1,0.0,1.0,3,Falcon3-1B
Confusion: People,2,0.0,0.6666666666666666,3,Falcon3-1B
Confusion: People,3,0.0,0.3333333333333333,3,Falcon3-1B
Confusion: People,4,0.0,1.0,3,Falcon3-1B
Confusion: People,5,0.0,0.6666666666666666,3,Falcon3-1B
Conspiracies,0,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Conspiracies,1,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Conspiracies,2,0.0,1.0,3,Falcon3-1B
Conspiracies,3,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Conspiracies,4,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Conspiracies,5,0.0,1.0,3,Falcon3-1B
Distraction,0,0.0,1.0,3,Falcon3-1B
Distraction,1,0.0,1.0,3,Falcon3-1B
Distraction,2,0.0,1.0,3,Falcon3-1B
Distraction,3,0.0,1.0,3,Falcon3-1B
Distraction,4,0.0,1.0,3,Falcon3-1B
Distraction,5,0.0,1.0,3,Falcon3-1B
Economics,0,0.5,0.5,4,Falcon3-1B
Economics,1,0.5,0.5,4,Falcon3-1B
Economics,2,0.25,0.75,4,Falcon3-1B
Economics,3,0.5,0.5,4,Falcon3-1B
Economics,4,0.5,0.5,4,Falcon3-1B
Economics,5,0.25,0.5,4,Falcon3-1B
Education,0,0.5,0.5,2,Falcon3-1B
Education,1,0.5,0.5,2,Falcon3-1B
Education,2,0.5,0.5,2,Falcon3-1B
Education,3,0.5,0.5,2,Falcon3-1B
Education,4,0.5,0.5,2,Falcon3-1B
Education,5,0.5,0.0,2,Falcon3-1B
Fiction,0,0.375,0.625,8,Falcon3-1B
Fiction,1,0.625,0.375,8,Falcon3-1B
Fiction,2,0.625,0.25,8,Falcon3-1B
Fiction,3,0.625,0.375,8,Falcon3-1B
Fiction,4,0.75,0.25,8,Falcon3-1B
Fiction,5,0.75,0.25,8,Falcon3-1B
Health,0,0.42857142857142855,0.42857142857142855,7,Falcon3-1B
Health,1,0.42857142857142855,0.5714285714285714,7,Falcon3-1B
Health,2,0.5714285714285714,0.42857142857142855,7,Falcon3-1B
Health,3,0.5714285714285714,0.42857142857142855,7,Falcon3-1B
Health,4,0.5714285714285714,0.42857142857142855,7,Falcon3-1B
Health,5,0.42857142857142855,0.2857142857142857,7,Falcon3-1B
History,0,1.0,0.0,1,Falcon3-1B
History,1,1.0,0.0,1,Falcon3-1B
History,2,1.0,0.0,1,Falcon3-1B
History,3,1.0,0.0,1,Falcon3-1B
History,4,1.0,0.0,1,Falcon3-1B
History,5,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,0,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,1,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,2,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,3,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,4,1.0,0.0,1,Falcon3-1B
Indexical Error: Location,5,1.0,0.0,1,Falcon3-1B
Indexical Error: Other,0,0.0,0.25,4,Falcon3-1B
Indexical Error: Other,1,0.0,0.5,4,Falcon3-1B
Indexical Error: Other,2,0.0,0.25,4,Falcon3-1B
Indexical Error: Other,3,0.0,0.25,4,Falcon3-1B
Indexical Error: Other,4,0.0,0.25,4,Falcon3-1B
Indexical Error: Other,5,0.0,0.5,4,Falcon3-1B
Indexical Error: Time,0,0.5,0.5,2,Falcon3-1B
Indexical Error: Time,1,0.5,0.5,2,Falcon3-1B
Indexical Error: Time,2,0.5,0.5,2,Falcon3-1B
Indexical Error: Time,3,0.5,0.5,2,Falcon3-1B
Indexical Error: Time,4,0.5,0.5,2,Falcon3-1B
Indexical Error: Time,5,0.5,0.5,2,Falcon3-1B
Language,0,0.5,0.5,2,Falcon3-1B
Language,1,0.5,0.5,2,Falcon3-1B
Language,2,0.5,0.5,2,Falcon3-1B
Language,3,0.5,0.5,2,Falcon3-1B
Language,4,0.5,0.5,2,Falcon3-1B
Language,5,0.5,0.5,2,Falcon3-1B
Law,0,0.45454545454545453,0.5454545454545454,11,Falcon3-1B
Law,1,0.5454545454545454,0.45454545454545453,11,Falcon3-1B
Law,2,0.5454545454545454,0.36363636363636365,11,Falcon3-1B
Law,3,0.7272727272727273,0.09090909090909091,11,Falcon3-1B
Law,4,0.45454545454545453,0.5454545454545454,11,Falcon3-1B
Law,5,0.6363636363636364,0.2727272727272727,11,Falcon3-1B
Logical Falsehood,0,1.0,0.0,2,Falcon3-1B
Logical Falsehood,1,1.0,0.0,2,Falcon3-1B
Logical Falsehood,2,1.0,0.0,2,Falcon3-1B
Logical Falsehood,3,1.0,0.0,2,Falcon3-1B
Logical Falsehood,4,1.0,0.0,2,Falcon3-1B
Logical Falsehood,5,0.5,0.5,2,Falcon3-1B
Misconceptions,0,0.5,0.5,8,Falcon3-1B
Misconceptions,1,0.75,0.25,8,Falcon3-1B
Misconceptions,2,0.375,0.625,8,Falcon3-1B
Misconceptions,3,0.625,0.375,8,Falcon3-1B
Misconceptions,4,0.5,0.5,8,Falcon3-1B
Misconceptions,5,0.375,0.625,8,Falcon3-1B
Misconceptions: Topical,0,0.0,1.0,1,Falcon3-1B
Misconceptions: Topical,1,1.0,0.0,1,Falcon3-1B
Misconceptions: Topical,2,1.0,0.0,1,Falcon3-1B
Misconceptions: Topical,3,1.0,0.0,1,Falcon3-1B
Misconceptions: Topical,4,1.0,0.0,1,Falcon3-1B
Misconceptions: Topical,5,1.0,0.0,1,Falcon3-1B
Misinformation,0,0.0,0.0,1,Falcon3-1B
Misinformation,1,0.0,0.0,1,Falcon3-1B
