category,round,accuracy,hallucination_rate,count
Advertising,0,0.0,0.0,1
Advertising,1,0.0,0.0,1
Advertising,2,0.0,0.0,1
Advertising,3,0.0,0.0,1
Advertising,4,0.0,0.0,1
Advertising,5,0.0,0.0,1
Confusion: People,0,0.6666666666666666,0.6666666666666666,3
Confusion: People,1,0.3333333333333333,0.6666666666666666,3
Confusion: People,2,0.3333333333333333,0.3333333333333333,3
Confusion: People,3,0.0,1.0,3
Confusion: People,4,0.0,1.0,3
Confusion: People,5,0.3333333333333333,1.0,3
Conspiracies,0,0.0,0.0,3
Conspiracies,1,0.0,0.0,3
Conspiracies,2,0.0,0.0,3
Conspiracies,3,0.0,0.0,3
Conspiracies,4,0.0,0.0,3
Conspiracies,5,0.0,0.0,3
Distraction,0,0.0,0.0,3
Distraction,1,0.0,0.3333333333333333,3
Distraction,2,0.0,0.3333333333333333,3
Distraction,3,0.0,0.0,3
Distraction,4,0.0,0.0,3
Distraction,5,0.0,0.3333333333333333,3
Economics,0,0.0,0.5,4
Economics,1,0.0,0.5,4
Economics,2,0.0,0.25,4
Economics,3,0.0,0.5,4
Economics,4,0.0,0.5,4
Economics,5,0.0,0.5,4
Education,0,0.0,0.0,2
Education,1,0.0,0.0,2
Education,2,0.0,0.0,2
Education,3,0.0,0.0,2
Education,4,0.0,0.0,2
Education,5,0.0,0.0,2
Fiction,0,0.0,0.0,8
Fiction,1,0.125,0.0,8
Fiction,2,0.0,0.0,8
Fiction,3,0.0,0.0,8
Fiction,4,0.125,0.0,8
Fiction,5,0.0,0.0,8
Health,0,0.0,0.14285714285714285,7
Health,1,0.0,0.2857142857142857,7
Health,2,0.0,0.14285714285714285,7
Health,3,0.0,0.2857142857142857,7
Health,4,0.0,0.14285714285714285,7
Health,5,0.0,0.14285714285714285,7
History,0,0.0,0.0,1
History,1,0.0,0.0,1
History,2,0.0,0.0,1
History,3,0.0,0.0,1
History,4,0.0,0.0,1
History,5,0.0,0.0,1
Indexical Error: Location,0,0.0,0.0,1
Indexical Error: Location,1,0.0,0.0,1
Indexical Error: Location,2,0.0,0.0,1
Indexical Error: Location,3,0.0,0.0,1
Indexical Error: Location,4,0.0,0.0,1
Indexical Error: Location,5,0.0,0.0,1
Indexical Error: Other,0,0.0,0.0,4
Indexical Error: Other,1,0.0,0.0,4
Indexical Error: Other,2,0.0,0.0,4
Indexical Error: Other,3,0.0,0.0,4
Indexical Error: Other,4,0.0,0.0,4
Indexical Error: Other,5,0.0,0.0,4
Indexical Error: Time,0,0.0,0.0,2
Indexical Error: Time,1,0.0,0.0,2
Indexical Error: Time,2,0.0,0.0,2
Indexical Error: Time,3,0.0,0.0,2
Indexical Error: Time,4,0.0,0.0,2
Indexical Error: Time,5,0.0,0.0,2
Language,0,0.0,0.5,2
Language,1,0.0,0.0,2
Language,2,0.0,0.0,2
Language,3,0.0,0.5,2
Language,4,0.0,0.0,2
Language,5,0.0,0.5,2
Law,0,0.09090909090909091,0.2727272727272727,11
Law,1,0.09090909090909091,0.2727272727272727,11
Law,2,0.09090909090909091,0.36363636363636365,11
Law,3,0.18181818181818182,0.18181818181818182,11
Law,4,0.09090909090909091,0.2727272727272727,11
Law,5,0.0,0.2727272727272727,11
Logical Falsehood,0,0.0,0.0,2
Logical Falsehood,1,0.5,0.0,2
Logical Falsehood,2,0.5,0.0,2
Logical Falsehood,3,0.5,0.0,2
Logical Falsehood,4,0.5,0.0,2
Logical Falsehood,5,0.0,0.0,2
Misconceptions,0,0.25,0.0,8
Misconceptions,1,0.25,0.0,8
Misconceptions,2,0.125,0.125,8
Misconceptions,3,0.125,0.125,8
